LocationId,EmbeddedLocationId,LocationName,StoreNumber,LocationType,SavedHierarchyApplicability,EffectiveHierarchyApplicability,ApplicabilityIssue,LifecycleStatus,CurrentVersionPresent,CurrentVersion,EffectiveConcurrencyVersion,VersionIssue,UpdatedAt,CurrentRegionId,CurrentRegionName,CurrentRegionStatus,CurrentDistrictId,CurrentDistrictName,CurrentDistrictStatus,LegacyDistrict,ProposedRegionId,ProposedRegionName,ProposedDistrictId,ProposedDistrictName,ReviewStatus,AdditionalIssues,Evidence,DecisionNeeded
"loc-59","loc-59","Northridge Fashion Center","59","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-51","loc-51","Fashion Show","51","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-120","loc-120","Lloyd Center","120","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-09","loc-09","Solano Town Center","09","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-19","loc-19","Santa Rosa Plaza","19","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-11","loc-11","Compton","11","Strip Center / Shopping Center","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-15","loc-15","Somersville Towne Center","15","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-48","loc-48","Inland Center","48","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-87","loc-87","Lakewood Center","87","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-35","loc-35","Plaza Bonita","35","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-118","loc-118","SouthCenter Mall","118","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-21","loc-21","WFS Culver City Mall","21","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-108","loc-108","Tacoma Mall","108","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-25","loc-25","Northridge Mall","25","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-97","loc-97","Hollywood","97","Street / Standalone Location","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-29","loc-29","Moreno Valley Mall","29","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-37","loc-37","Hanford Mall","37","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-143","loc-143","Southbay Pavilion","143","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-33","loc-33","Baldwin Hills Crenshaw Plaza","33","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-116","loc-116","Los Cerritos Center","116","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-91","loc-91","Vintage Faire Mall","91","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-95","loc-95","SF Flagship S-100","95","Street / Standalone Location","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-23","loc-23","Sunvalley Mall","23","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-52","loc-52","Galleria at Tyler","52","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-07","loc-07","Southland Mall East","07","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:31:55.273Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-17","loc-17","Valley Fair","17","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-42","loc-42","Mission St.","42","Street / Standalone Location","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-133","loc-133","Washington Square","133","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-47","loc-47","Stoneridge Shopping Center","47","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-53","loc-53","The Galleria at South Bay","53","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-57","loc-57","Antelope Valley Mall","57","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-103","loc-103","Florin Mall","103","Strip Center / Shopping Center","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-73","loc-73","Houston Galleria","73","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-98","loc-98","Oakland","98","Street / Standalone Location","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Northern California, Nevada, Northwest & Texas","region-west","West","03","Northern California, Nevada, Northwest & Texas","UniqueNameCandidate","","Legacy text uniquely matches Active District 03 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-32","loc-32","Visalia Mall","32","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-d4c2f939-bcd5-4263-bdc8-e7f293afe84a","loc-d4c2f939-bcd5-4263-bdc8-e7f293afe84a","Ecommerce","001","Warehouse / Distribution Center","","Not Applicable","","Active","true","2","2","","2026-09-13T10:56:45.638Z","","","","","","","","","","","","NonApplicable","","Effective application contract treats this record as Not Applicable","No hierarchy assignment unless owner changes applicability"
"loc-146","loc-146","Montebello Town Center","146","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.770Z","","","","","","","Inland Empire, San Diego & LA South","region-west","West","02","Inland Empire, San Diego & LA South","UniqueNameCandidate","","Legacy text uniquely matches Active District 02 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
"loc-36","loc-36","Arden Fair","36","Enclosed Mall","","Applicable","","Active","false","","0","","2026-09-08T07:13:14.769Z","","","","","","","Central & Southern California","region-west","West","01","Central & Southern California","UniqueNameCandidate","","Legacy text uniquely matches Active District 01 with Active parent Region; candidate only","Theo must approve the candidate before assignment"
